speed_mph,speed_kmh,categoria_trafico
68.08,109.56386719999999,Vías rápidas
67.69,108.9362246,Vías rápidas
67.24,108.21202159999999,Vías rápidas
67.26,108.2442084,Vías rápidas
68.23,109.8052682,Vías rápidas
68.72,110.5938448,Vías rápidas
68.63,110.44900419999999,Vías rápidas
68.46,110.17541639999999,Vías rápidas
68.98,111.01227320000001,Vías rápidas
69.24,111.43070159999999,Vías rápidas
67.18,108.11546120000001,Vías rápidas
66.5,107.02111,Vías rápidas
65.99,106.20034659999999,Vías rápidas
66.09,106.3612806,Vías rápidas
66.15,106.457841,Vías rápidas
66.18,106.50612120000001,Vías rápidas
65.54,105.47614360000001,Vías rápidas
67.98,109.4029332,Vías rápidas
68.19,109.74089459999999,Vías rápidas
68.54,110.30416360000001,Vías rápidas
68.64,110.4650976,Vías rápidas
68.54,110.30416360000001,Vías rápidas
68.62,110.4329108,Vías rápidas
68.07,109.54777379999999,Vías rápidas
67.78,109.0810652,Vías rápidas
67.08,107.9545272,Vías rápidas
67.02,107.8579668,Vías rápidas
67.77,109.0649718,Vías rápidas
69.09,111.18930060000001,Vías rápidas
69.74,112.2353716,Vías rápidas
60.03,96.6086802,Vías rápidas
47.95,77.16785300000001,Vías rápidas
51.73,83.25115819999999,Vías rápidas
64.69,104.1082046,Vías rápidas
66.57,107.13376379999998,Vías rápidas
67.27,108.2603018,Vías rápidas
67.19,108.1315546,Vías rápidas
67.1,107.98671399999999,Vías rápidas
66.87,107.6165658,Vías rápidas
67.06,107.92234040000001,Vías rápidas
66.92,107.6970328,Vías rápidas
65.92,106.0876928,Vías rápidas
66.61,107.1981374,Vías rápidas
68.1,109.596054,Vías rápidas
68.54,110.30416360000001,Vías rápidas
68.7,110.56165800000001,Vías rápidas
68.48,110.20760320000001,Vías rápidas
68.06,109.5316804,Vías rápidas
67.74,109.01669159999999,Vías rápidas
67.08,107.9545272,Vías rápidas
67.19,108.1315546,Vías rápidas
67.57,108.74310379999999,Vías rápidas
69.19,111.3502346,Vías rápidas
63.87,102.7885458,Vías rápidas
48.19,77.5540946,Vías rápidas
29.88,48.0870792,Tráfico fluido
54.46,87.6446564,Vías rápidas
62.22,100.1331348,Vías rápidas
62.86,101.1631124,Vías rápidas
63.05,101.468887,Vías rápidas
62.92,101.2596728,Vías rápidas
62.06,99.87564040000001,Vías rápidas
61.38,98.7812892,Vías rápidas
59.38,95.5626092,Vías rápidas
59.78,96.2063452,Vías rápidas
58.86,94.7257524,Vías rápidas
57.19,92.0381546,Vías rápidas
59.48,95.7235432,Vías rápidas
58.82,94.6613788,Vías rápidas
59.58,95.88447719999999,Vías rápidas
60.09,96.70524060000001,Vías rápidas
59.99,96.5443066,Vías rápidas
60.72,97.7191248,Vías rápidas
60.73,97.73521819999999,Vías rápidas
60.74,97.75131160000001,Vías rápidas
60.57,97.4777238,Vías rápidas
61.27,98.6042618,Vías rápidas
58.72,94.5004448,Vías rápidas
47.42,76.3149028,Vías rápidas
30.38,48.8917492,Tráfico fluido
32.33,52.0299622,Tráfico fluido
56.02,90.15522680000001,Vías rápidas
61.82,99.4893988,Vías rápidas
62.28,100.2296952,Vías rápidas
61.63,99.1836242,Vías rápidas
62.46,100.5193764,Vías rápidas
61.96,99.7147064,Vías rápidas
59.21,95.2890214,Vías rápidas
58.92,94.8223128,Vías rápidas
59.86,96.3350924,Vías rápidas
59.84,96.3029056,Vías rápidas
60.61,97.5420974,Vías rápidas
59.22,95.3051148,Vías rápidas
56.96,91.6680064,Vías rápidas
58.64,94.3716976,Vías rápidas
60.24,96.9466416,Vías rápidas
60.89,97.9927126,Vías rápidas
60.72,97.7191248,Vías rápidas
60.78,97.8156852,Vías rápidas
60.98,98.1375532,Vías rápidas
61.87,99.5698658,Vías rápidas
60.57,97.4777238,Vías rápidas
50.39,81.0946426,Vías rápidas
34.72,55.8762848,Tráfico fluido
33.87,54.508345799999994,Tráfico fluido
60.09,96.70524060000001,Vías rápidas
61.32,98.6847288,Vías rápidas
61.27,98.6042618,Vías rápidas
61.76,99.3928384,Vías rápidas
61.68,99.2640912,Vías rápidas
61.81,99.4733054,Vías rápidas
60.64,97.5903776,Vías rápidas
61.5,98.97441,Vías rápidas
61.27,98.6042618,Vías rápidas
61.42,98.8456628,Vías rápidas
62.82,101.0987388,Vías rápidas
63.11,101.5654474,Vías rápidas
63.24,101.7746616,Vías rápidas
62.75,100.986085,Vías rápidas
61.62,99.1675308,Vías rápidas
61.41,98.8295694,Vías rápidas
60.93,98.0570862,Vías rápidas
60.93,98.0570862,Vías rápidas
61.07,98.2823938,Vías rápidas
62.29,100.2457886,Vías rápidas
60.63,97.57428420000001,Vías rápidas
57.72,92.8911048,Vías rápidas
47.38,76.2505292,Vías rápidas
33.74,54.2991316,Tráfico fluido
57.1,91.893314,Vías rápidas
60.84,97.9122456,Vías rápidas
62.28,100.2296952,Vías rápidas
61.97,99.7307998,Vías rápidas
61.87,99.5698658,Vías rápidas
61.77,99.4089318,Vías rápidas
61.11,98.3467674,Vías rápidas
61.01,98.18583339999999,Vías rápidas
59.48,95.7235432,Vías rápidas
61.08,98.2984872,Vías rápidas
63.88,102.8046392,Vías rápidas
62.75,100.986085,Vías rápidas
62.96,101.3240464,Vías rápidas
63.17,101.6620078,Vías rápidas
62.3,100.261882,Vías rápidas
61.85,99.537679,Vías rápidas
61.26,98.5881684,Vías rápidas
60.85,97.92833900000001,Vías rápidas
60.91,98.0248994,Vías rápidas
61.12,98.36286079999999,Vías rápidas
61.63,99.1836242,Vías rápidas
61.11,98.3467674,Vías rápidas
60.46,97.3006964,Vías rápidas
60.18,96.8500812,Vías rápidas
61.16,98.42723439999999,Vías rápidas
57.09,91.8772206,Vías rápidas
57.56,92.63361040000001,Vías rápidas
56.04,90.1874136,Vías rápidas
55.64,89.5436776,Vías rápidas
56.73,91.2978582,Vías rápidas
